7.06

-277.29	7.18

127.11	7.15

-249.50	7.15

-4.09	7.22

-110.59	7.12

-156.90	7.04

28.32	7.09

-263.40	7.11

103.95	7.15

-235.61	7.08

-4.09	7.14

-92.07	7.09

-112.13	6.99

42.21	7.05

-286.55	7.00

56.10	7.08

-230.98	7.08

-16.44	7.12

-92.07	7.16

-164.61	7.13

34.50	7.17

-266.48	7.09

76.17	7.02

-200.11	7.09

-42.68	7.10

-64.29	7.17

-193.94	6.94

32.95	7.09

-272.66	7.09

60.74	7.12

-201.66	7.07

-51.94	7.13

-48.85	7.08

-207.83	7.04

25.24	7.09

-257.22	7.08

60.74	7.09

-192.40	7.05

-41.13	7.12

-2.55	7.11

-244.87	6.98

76.17	7.04

-271.11	7.14

56.10	7.05

-178.50	7.09

-72.00	7.08

-17.98	7.07

-221.72	7.13

86.97	7.11

-255.68	7.12

19.06	7.07

-155.35	7.11

-126.03	7.09

3.63	7.03

-277.29	7.11

88.52	7.08

-254.13	7.17

19.06	7.05

-143.00	7.06

-99.79	7.10

60.74	7.05

-277.29	7.09

82.34	7.08

-232.53	7.10

5.17	7.14

-115.22	7.08

-156.90	7.13

29.87	6.93

-288.09	7.06

93.15	7.10

-209.37	7.08

-19.53	7.11

-82.81	7.14

-187.77	7.08

22.15	7.12

-240.24	7.05

51.47	7.22

-210.92	7.12

-44.22	6.98

-33.42	7.17

-189.31	7.12

-1.00	7.10

-266.48	7.02

76.17	7.17

-170.79	7.09

-36.50	7.16

-34.96	7.10

-200.11	7.18

36.04	7.09

-271.11	7.03

37.58	7.06

-167.70	7.06

-109.05	7.04

-1.00	7.11

-275.74	7.07

103.95	7.07

-263.40	6.98

23.69	6.99

-135.29	7.09

-138.37	7.07

31.41	7.07

-271.11	7.08

43.76	7.15

-230.98	7.09

22.15	7.09

-92.07	7.13

-170.79	7.11

48.39	7.10

-283.46	7.10

65.37	7.22

-195.48	7.09

-39.59	7.08

-56.57	7.22

-180.05	7.05

17.52	7.09

-252.59	7.29

57.65	7.10

-190.85	7.00

-72.00	7.08

-13.35	7.15

-230.98	7.06

73.08	7.16

-254.13	7.01

15.97	7.21

-109.05	7.15

-166.16	7.08

60.74	7.11

-237.16	7.00

42.21	7.04

-152.27	7.11

-87.44	7.10

-10.26	7.08

-247.96	7.16

74.63	7.10

-285.00	7.09

39.13	7.08

-135.29	6.96

-119.85	7.08

8.26	7.06

-275.74	7.08

96.24	7.07

-241.79	7.07

17.52	7.15

-109.05	7.09

-149.18	7.02

51.47	7.06

-297.35	7.05

82.34	7.11

-214.00	7.06

-14.90	7.14

-96.70	7.05

-147.63	7.03

23.69	7.00

-257.22	7.06

70.00	7.09

-210.92	6.96

-30.33	7.05

-84.35	7.02

-193.94	7.11

88.52	7.06

-271.11	7.14

54.56	7.08

-186.22	7.07

-84.35	7.02

-25.70	7.11

-223.27	7.17

51.47	7.07

-244.87	7.01

28.32	7.12

-133.74	7.07

-112.13	6.96

29.87	7.10

-274.20	7.02

82.34	7.03

-249.50	7.10

8.26	7.17

-82.81	7.08

-124.48	7.06

57.65	6.96

-288.09	6.98

71.54	7.08

-234.07	7.03

-22.61	7.15

-53.48	7.01

-186.22	6.96

20.60	7.06

-257.22	7.10

57.65	7.08

-187.77	7.02

-72.00	7.08
